Name,Location,State,lat,long,command,host wing,primary missions and units
Joint Base Charleston,Charleston,South Carolina,32.5355,-080.0226,Air Mobility Command,628th Air Base Wing,USAF operated joint base. The 437th Airlift Wing and 315th Airlift Wing operate the C-17A Globemaster III.
Joint Base Andrews-Naval Air Facility Washington,Camp Springs,Maryland,38.4839,-076.5201,Air Force District of Washington,316th Wing,"USAF operated joint base. The 316th Wing provides administrative and operational support in the National Capital Region and operates the UH-1N Iroquois. The 89th Airlift Wing is assigned a variety of aircraft including two VC-25A (Air Force One) in the Special Air Mission role, providing support to US political and military leaders. Other USAF flying units include the 459th Air Refueling Wing (KC-135R Stratotanker) and the D.C. Air National Guard's 113th Wing (F-16C/D Fighting Falcon, C-38A Courier and C-40C).[6]"
Joint Base McGuire–Dix–Lakehurst,Trenton,New Jersey,40.0109,-074.3122,Air Mobility Command,87th Air Base Wing,USAF operated joint base. The 305th Air Mobility Wing and 514th Air Mobility Wing operate the C-17A Globemaster III and KC-10A Extender. Also home to the New Jersey Air National Guard's 108th Wing operating the KC-135R Stratotanker. The 621st Contingency Response Wing is part of the USAF Expeditionary Center which is also based there.
Joint Base Anacostia-Bolling,Southwest,"Washington, D.C.",38.5034,-077.0058,Air Force District of Washington,11th Wing,"USAF operated joint base. The 11th Wing provides base administration and support to tenants including the USAF Honor Guard and USAF Band, which support ceremonial operations in the National Capital Region.[5]"
Joint Base Langley–Eustis,Hampton,Virginia,37.0458,-076.2138,Air Combat Command,633rd Air Base Wing,"USAF operated joint base. Home to the 1st Fighter Wing and the Virginia Air National Guard's 192d Fighter Wing, both flying the F-22A Raptor. The base also hosts the headquarters of Air Combat Command, the 363rd Intelligence, Surveillance, and Reconnaissance (ISR) Wing and the 480th ISR Wing.[33]"
Joint Base San Antonio,San Antonio,Texas,29.2656,-098.2656,Air Education and Training Command,502nd Air Base Wing,"USAF operated joint base across several sites. JBSA-Randolph is home to the 12th Flying Training Wing and provides s undergraduate pilot training, flying the T-6A Texan II, T-1A Jayhawk and T-38C Talon. JBSA-Lackland is a non-flying facility that provides basic and technical training and Kelly Field Annex is home to the 149th Fighter Wing (F-16C/D Fighting Falcon) 433rd Airlift Wing (C-5M Galaxy).[55]"
Patrick Space Force Base,Brevard County,Florida,28.1406,-080.3636,Various,nan,"US Space Force installation hosting the Air Force Technical Applications Center.[48] Also home to the Air Force Reserve Commands 920th Rescue Wing which operates the HC-130N Combat King and HH-60G Pave Hawk, as well as the Florida Air National Guard's 114th Space Control Squadron.[49]"
Vandenberg Space Force Base,Lompoc,California,34.4357,-120.3405,Various,nan,US Space Force installation hosting the 532nd Training Squadron and 576th Flight Test Squadron.[70]
Peterson Space Force Base,Colorado Springs,Colorado,38.4925,-104.4142,Air Combat Command,561st Network Operations Squadron,US Space Force installation hosting a Geographically Separate Unit of the 690th Cyberspace Operations Group.[51]
Naval Air Station Pensacola,Pensacola,Florida,30.2109,-087.1904,Air Education and Training Command,479th Flying Training Group,US Navy operated installation hosting the USAF's 479th Flying Training Group (part of the 12th Flying Training Wing) which operates the T-1A Jayhawk and T-6A Texan II.[50]
Joint Base Lewis-McChord,Tacoma,Washington,47.0851,-122.2846,Air Mobility Command,627th Air Base Group,US Army operated joint base. The 62nd Airlift Wing and 446th Airlift Wing operate the C-17A Globemaster III. The Washington Air National Guard operates the Western Air Defense Sector.[35]
Fort George G. Meade,Odenton,Maryland,39.625,-76.4435,Air Combat Command,"70th Intelligence, Surveillance and Reconnaissance Wing",US Army installation hosting USAF intelligence units carrying out signals intelligence and cryptologic operations.[22]
Pope Field,Fayetteville,North Carolina,35.1015,-079.0052,Air Mobility Command,43rd Air Mobility Operations Group,"US Army installation (part of Fort Bragg) hosting the USAF's 43rd Air Mobility Operations Group, 18th Air Support Operations Group and several units of Air Force Special Operations Command.[52]"
Robins Air Force Base,Warner Robins,Georgia,32.3824,-083.3530,Air Force Materiel Command,78th Air Base Wing,"The Warner Robins Air Logistics Complex is the primary logistics support depot for the F-15 Eagle, C-130 Hercules, C-5M Galaxy and C-17A Globemaster III. Robins is also home to various directorates of the Air Force Life Cycle Management Center, the headquarters of Air Force Reserve Command and the 461st Air Control Wing & 116th Air Control Wing (Georgia Air National Guard) both operating the E-8C JSTARS.[53]"
Eglin Air Force Base,Valparaiso,Florida,30.29,-086.32,Air Force Materiel Command,96th Test Wing,"The USAF's test and evaluation center for air-delivered weapons, navigation and guidance systems, command and control systems, and Air Force Special Operations Command systems (96th Test Wing) as well as electronic warfare, armament and avionics, chemical defense, reconnaissance, and aircrew training devices (53rd Wing). Both wings operates the A-10C Thunderbolt II, F-15C/D/E Eagle and F-16C/D Fighting Falcon. The 33rd Fighter Wing trains F-35A Lightning II pilots from US and foreign air-arms.[18]"
Hill Air Force Base,Ogden,Utah,41.0726,-111.5822,Air Force Materiel Command,75th Air Base Wing,"The USAF's second largest base, home to the Ogden Air Logistics Complex, the 748th Supply Chain Management Group and several directorates of the Air Force Life Cycle Management Center and Air Force Nuclear Weapons Center. The 388th Fighter Wing and 419th Fighter Wing operate the F-35A Lightning II.[27]"
Edwards Air Force Base,Edwards,California,34.5420,-117.5301,Air Force Materiel Command,412th Test Wing,"The USAF's primary test and evaluation base and home of the Air Force Test Center. A wide range of aircraft are operated by the 412th Test Wing, Air Force Test Pilot School, 31st Test and Evaluation Squadron and Air Force Operational Test and Evaluation Center. Edwards also hosts NASA's Armstrong Flight Research Center.[17]"
Creech Air Force Base,Indian Springs,Nevada,36.3514,-115.4024,Air Combat Command,432nd Wing,"The USAF's primary remotely piloted aircraft system (drone) base. The 432nd Wing is supported by the Air Force Reserve's 926th Wing and the Nevada Air National Guard's 232nd Operations Squadron, all operating the MQ-9A Reaper.[12]"
Beale Air Force Base,Marysville,California,39.0810,-121.2611,Air Combat Command,9th Reconnaissance Wing,"The USAF's high-altitude Intelligence, Surveillance and Reconnaissance hub, operating the U-2S Dragon Lady, RQ-180, RQ-4B Global Hawk and T-38A Talon. The 940th Air Refueling Wing operates the KC-135R Stratotanker.[9]"
Tinker Air Force Base,Oklahoma City,Oklahoma,35.2453,-097.2312,Air Force Materiel Command,72nd Air Base Wing,"The Oklahoma City Air Logistics Complex is the primary logistics support depot for B-1B Lancer, B-2A Spirit, B-52H Stratofortress, KC-135R Stratotanker and E-3 Sentry. The 552nd Air Control Wing and 513th Air Control Group operate the E-3 Sentry and the 507th Air Refueling Wing the KC-135R Stratotanker.[60][61][62]"
Ellsworth Air Force Base,Box Elder,South Dakota,44.0842,-103.0613,Air Force Global Strike Command,28th Bomb Wing,The B-1B Lancer strategic bomber is operated by the 28th Bomb Wing. Ellsworth also hosts the 89th Attack Squadron which flies the MQ-9A Reaper.[19]
Dyess Air Force Base,Abilene,Texas,32.2515,-099.5117,Air Force Global Strike Command,7th Bomb Wing,The B-1B Lancer strategic bomber is operated by the 7th Bomb Wing and 307th Bomb Wing. Dyess is also home to the 317th Airlift Wing flying the C-130J Super Hercules.[16]
Whiteman Air Force Base,Knob Noster,Missouri,38.4349,-093.3253,Air Force Global Strike Command,509th Bomb Wing,"The 509th Bomb Wing and the Missouri Air National Guard's 131st Bomb Wing operates the B-2A Spirit, T-38A Talon. Other units include the 442nd Fighter Wing (A-10C Thunderbolt II) and the 20th Attack Squadron (MQ-9A Reaper).[71]"
Dover Air Force Base,Dover,Delaware,39.0742,-075.2753,Air Mobility Command,436th Airlift Wing,The 436th Airlift Wing and 512th Airlift Wing operate the C-17A Globemaster III and C-5M Super Galaxy in the tactical and strategic airlift role. The base also hosts the Charles C. Carson Center for Mortuary Affairs.[15]
Scott Air Force Base,Belleville,Illinois,38.3243,-089.5007,Air Mobility Command,375th Air Mobility Wing,"The 375th Air Mobility Wing operates the C-21A Learjet, C-40C Clipper and KC-135R Stratotanker. The Illinois Air National Guard's 126th Air Refueling Wing also operates the KC-135R and the 932nd Airlift Wing the C-40C. Also home to the headquarters of Air Mobility Command and the Eighteenth Air Force.[56]"
Mountain Home Air Force Base,Mountain Home,Idaho,43.0237,-115.5221,Air Combat Command,366th Fighter Wing,The 366th Fighter Wing operates the F-15E Strike Eagle.[44]
Davis–Monthan Air Force Base,Tucson,Arizona,32.0959,-110.5259,Air Combat Command,355th Fighter Wing,"The 355th Fighter Wing operates the A-10C Thunderbolt II (both for training and operationally), the HH-60G Pave Hawk and HC-130J Combat King II. Other flying units include the 55th Electronic Combat Group (EC-130H Compass Call), 920th Rescue Wing (HH-60G), 924th Fighter Group (A-10C) and the Arizona Air National Guard's 214th Attack Group (MQ-9A Reaper).[13] The base is known for its aircraft storage facility, operated by the 309th Aerospace Maintenance and Regeneration Group and is also the headquarters of the Twelfth Air Force (Air Forces Southern).[14]"
