State,Year,Num_Sightings
AK,1920,0
AK,1921,0
AK,1922,0
AK,1923,0
AK,1924,0
AK,1925,0
AK,1926,0
AK,1927,0
AK,1928,0
AK,1929,0
AK,1930,0
AK,1931,0
AK,1932,0
AK,1933,0
AK,1934,0
AK,1935,0
AK,1936,1
AK,1937,0
AK,1938,0
AK,1939,0
AK,1940,0
AK,1941,0
AK,1942,0
AK,1943,1
AK,1944,0
AK,1945,0
AK,1946,0
AK,1947,0
AK,1948,0
AK,1949,2
AK,1950,0
AK,1951,0
AK,1952,0
AK,1953,0
AK,1954,1
AK,1955,1
AK,1956,0
AK,1957,3
AK,1958,0
AK,1959,0
AK,1960,0
AK,1961,0
AK,1962,1
AK,1963,0
AK,1964,0
AK,1965,0
AK,1966,2
AK,1967,2
AK,1968,3
AK,1969,4
AK,1970,0
AK,1971,0
AK,1972,1
AK,1973,1
AK,1974,2
AK,1975,1
AK,1976,5
AK,1977,1
AK,1978,3
AK,1979,0
AK,1980,1
AK,1981,0
AK,1982,1
AK,1983,1
AK,1984,3
AK,1985,2
AK,1986,3
AK,1987,3
AK,1988,2
AK,1989,2
AK,1990,3
AK,1991,0
AK,1992,0
AK,1993,1
AK,1994,2
AK,1995,9
AK,1996,5
AK,1997,5
AK,1998,14
AK,1999,18
AK,2000,14
AK,2001,16
AK,2002,10
AK,2003,14
AK,2004,10
AK,2005,19
AK,2006,13
AK,2007,8
AK,2008,14
AK,2009,17
AK,2010,15
AK,2011,18
AK,2012,46
AK,2013,53
AK,2014,43
AK,2015,38
AK,2016,43
AK,2017,21
AK,2018,25
AK,2019,20
AK,2020,23
AK,2021,5
AK,2022,10
AK,2023,0
AL,1920,0
AL,1921,0
AL,1922,0
AL,1923,0
AL,1924,0
AL,1925,0
AL,1926,0
AL,1927,0
AL,1928,0
AL,1929,0
AL,1930,0
AL,1931,0
AL,1932,0
AL,1933,0
AL,1934,0
AL,1935,0
AL,1936,0
AL,1937,0
AL,1938,0
AL,1939,1
AL,1940,0
AL,1941,0
AL,1942,0
AL,1943,0
AL,1944,0
AL,1945,0
AL,1946,0
AL,1947,0
AL,1948,0
AL,1949,2
AL,1950,0
AL,1951,1
AL,1952,1
AL,1953,1
AL,1954,0
AL,1955,0
AL,1956,1
AL,1957,0
AL,1958,0
AL,1959,0
AL,1960,0
AL,1961,1
AL,1962,1
AL,1963,0
AL,1964,1
AL,1965,2
AL,1966,2
AL,1967,4
AL,1968,5
AL,1969,3
AL,1970,2
AL,1971,3
AL,1972,6
AL,1973,13
AL,1974,5
AL,1975,5
AL,1976,4
AL,1977,3
AL,1978,6
AL,1979,2
AL,1980,5
AL,1981,1
AL,1982,0
AL,1983,0
AL,1984,4
AL,1985,3
AL,1986,1
AL,1987,3
AL,1988,2
AL,1989,1
AL,1990,0
AL,1991,0
AL,1992,7
AL,1993,3
AL,1994,9
AL,1995,13
AL,1996,8
AL,1997,11
AL,1998,17
AL,1999,31
AL,2000,21
AL,2001,14
AL,2002,19
AL,2003,42
AL,2004,27
AL,2005,39
AL,2006,38
AL,2007,53
AL,2008,51
AL,2009,35
AL,2010,26
AL,2011,41
AL,2012,67
AL,2013,85
AL,2014,129
AL,2015,65
AL,2016,50
AL,2017,63
AL,2018,30
AL,2019,62
AL,2020,60
AL,2021,21
AL,2022,71
AL,2023,0
AR,1920,0
AR,1921,0
AR,1922,0
AR,1923,0
AR,1924,0
AR,1925,0
AR,1926,0
AR,1927,0
AR,1928,0
AR,1929,0
AR,1930,0
AR,1931,0
AR,1932,0
AR,1933,0
AR,1934,0
AR,1935,0
AR,1936,0
AR,1937,0
AR,1938,0
AR,1939,0
AR,1940,0
AR,1941,0
AR,1942,0
AR,1943,0
AR,1944,0
AR,1945,0
AR,1946,0
AR,1947,0
AR,1948,0
AR,1949,0
AR,1950,1
AR,1951,0
AR,1952,1
AR,1953,0
AR,1954,0
AR,1955,2
AR,1956,1
AR,1957,2
AR,1958,0
AR,1959,0
