State,Year,Resident Population Density
AL,1910,42.2
AL,1920,46.4
AL,1930,52.3
AL,1940,55.9
AL,1950,60.5
AL,1960,64.5
AL,1970,68.0
AL,1980,76.9
AL,1990,79.8
AL,2000,87.8
AL,2010,94.4
AL,2020,99.2
AK,1910,0.1
AK,1920,0.1
AK,1930,0.1
AK,1940,0.1
AK,1950,0.2
AK,1960,0.4
AK,1970,0.5
AK,1980,0.7
AK,1990,1.0
AK,2000,1.1
AK,2010,1.2
AK,2020,1.3
AZ,1910,1.8
AZ,1920,2.9
AZ,1930,3.8
AZ,1940,4.4
AZ,1950,6.6
AZ,1960,11.5
AZ,1970,15.6
AZ,1980,23.9
AZ,1990,32.3
AZ,2000,45.2
AZ,2010,56.3
AZ,2020,62.9
AR,1910,30.3
AR,1920,33.7
AR,1930,35.6
AR,1940,37.5
AR,1950,36.7
AR,1960,34.3
AR,1970,37.0
AR,1980,43.9
AR,1990,45.2
AR,2000,51.4
AR,2010,56.0
AR,2020,57.9
CA,1910,15.3
CA,1920,22.0
CA,1930,36.4
CA,1940,44.3
CA,1950,68.0
CA,1960,100.9
CA,1970,128.1
CA,1980,151.9
CA,1990,191.0
CA,2000,217.4
CA,2010,239.1
CA,2020,253.7
CO,1910,7.7
CO,1920,9.1
CO,1930,10.0
CO,1940,10.8
CO,1950,12.8
CO,1960,16.9
CO,1970,21.3
CO,1980,27.9
CO,1990,31.8
CO,2000,41.5
CO,2010,48.5
CO,2020,55.7
CT,1910,230.2
CT,1920,285.1
CT,1930,331.8
CT,1940,353.0
CT,1950,414.5
CT,1960,523.6
CT,1970,626.1
CT,1980,641.7
CT,1990,678.8
CT,2000,703.3
CT,2010,738.1
CT,2020,744.7
DE,1910,103.8
DE,1920,114.4
DE,1930,122.3
DE,1940,136.8
DE,1950,163.2
DE,1960,229.0
DE,1970,281.3
DE,1980,305.0
DE,1990,341.9
DE,2000,402.1
DE,2010,460.8
DE,2020,508.0
DC,1910,5423.1
DC,1920,7167.6
DC,1930,7975.1
DC,1940,10861.7
DC,1950,13140.0
DC,1960,12513.9
DC,1970,12392.0
DC,1980,10456.2
DC,1990,9941.3
DC,2000,9370.6
DC,2010,9856.5
DC,2020,11280.0
FL,1910,14.0
FL,1920,18.1
FL,1930,27.4
FL,1940,35.4
FL,1950,51.7
FL,1960,92.3
FL,1970,126.6
FL,1980,181.8
FL,1990,241.3
FL,2000,298.0
FL,2010,350.6
FL,2020,401.4
GA,1910,45.4
GA,1920,50.4
GA,1930,50.6
GA,1940,54.3
GA,1950,59.9
GA,1960,68.6
GA,1970,79.8
GA,1980,95.0
GA,1990,112.6
GA,2000,142.3
GA,2010,168.4
GA,2020,185.6
HI,1910,29.9
HI,1920,39.8
HI,1930,57.3
HI,1940,65.9
HI,1950,77.8
HI,1960,98.5
HI,1970,119.7
HI,1980,150.2
HI,1990,172.6
HI,2000,188.6
HI,2010,211.8
HI,2020,226.6
ID,1910,3.9
ID,1920,5.2
ID,1930,5.4
ID,1940,6.4
ID,1950,7.1
ID,1960,8.1
ID,1970,8.6
ID,1980,11.4
ID,1990,12.2
ID,2000,15.7
ID,2010,19.0
ID,2020,22.3
IL,1910,101.6
IL,1920,116.8
IL,1930,137.4
IL,1940,142.2
IL,1950,156.9
IL,1960,181.6
IL,1970,200.2
IL,1980,205.8
IL,1990,205.9
IL,2000,223.7
IL,2010,231.1
IL,2020,230.8
IN,1910,75.4
IN,1920,81.8
IN,1930,90.4
IN,1940,95.7
IN,1950,109.8
IN,1960,130.1
IN,1970,145.0
IN,1980,153.2
IN,1990,154.8
IN,2000,169.7
IN,2010,181.0
IN,2020,189.4
IA,1910,39.8
IA,1920,43.0
IA,1930,44.2
IA,1940,45.4
IA,1950,46.9
IA,1960,49.4
IA,1970,50.6
IA,1980,52.2
IA,1990,49.7
IA,2000,52.4
IA,2010,54.5
IA,2020,57.1
KS,1910,20.7
KS,1920,21.6
KS,1930,23.0
KS,1940,22.0
KS,1950,23.3
KS,1960,26.6
KS,1970,27.5
KS,1980,28.9
KS,1990,30.3
KS,2000,32.9
KS,2010,34.9
KS,2020,35.9
KY,1910,58.0
KY,1920,61.2
KY,1930,66.2
KY,1940,72.1
KY,1950,74.6
KY,1960,76.9
KY,1970,81.5
KY,1980,92.7
KY,1990,93.3
KY,2000,102.4
KY,2010,109.9
KY,2020,114.1
LA,1910,38.3
LA,1920,41.6
LA,1930,48.6
LA,1940,54.7
LA,1950,62.1
LA,1960,75.4
LA,1970,84.3
LA,1980,97.3
LA,1990,97.7
LA,2000,103.4
LA,2010,104.9
LA,2020,107.8
ME,1910,24.1
ME,1920,24.9
ME,1930,25.9
ME,1940,27.5
ME,1950,29.6
ME,1960,31.4
ME,1970,32.2
ME,1980,36.5
ME,1990,39.8
ME,2000,41.3
ME,2010,43.1
ME,2020,44.2
MD,1910,133.4
MD,1920,149.3
MD,1930,168.1
MD,1940,187.6
MD,1950,241.4
MD,1960,319.4
MD,1970,404.1
MD,1980,434.4
MD,1990,492.6
MD,2000,545.6
MD,2010,594.8
MD,2020,636.1
MA,1910,431.6
MA,1920,493.9
MA,1930,544.8
MA,1940,553.4
MA,1950,601.3
MA,1960,660.1
MA,1970,729.4
MA,1980,735.5
MA,1990,771.3
MA,2000,814.0
MA,2010,839.4
MA,2020,901.2
MI,1910,49.7
