State,Year,Total_Resident_Population,Resident_Population_Density
AL,1910,2138093,42.2
AL,1920,2348174,46.4
AL,1930,2646248,52.3
AL,1940,2832961,55.9
AL,1950,3061743,60.5
AL,1960,3266740,64.5
AL,1970,3444165,68.0
AL,1980,3893888,76.9
AL,1990,4040587,79.8
AL,2000,4447100,87.8
AL,2010,4779736,94.4
AL,2020,5024279,99.2
AK,1910,64356,0.1
AK,1920,55036,0.1
AK,1930,59278,0.1
AK,1940,72524,0.1
AK,1950,128643,0.2
AK,1960,226167,0.4
AK,1970,300382,0.5
AK,1980,401851,0.7
AK,1990,550043,1.0
AK,2000,626932,1.1
AK,2010,710231,1.2
AK,2020,733391,1.3
AZ,1910,204354,1.8
AZ,1920,334162,2.9
AZ,1930,435573,3.8
AZ,1940,499261,4.4
AZ,1950,749587,6.6
AZ,1960,1302161,11.5
AZ,1970,1770900,15.6
AZ,1980,2718215,23.9
AZ,1990,3665228,32.3
AZ,2000,5130632,45.2
AZ,2010,6392017,56.3
AZ,2020,7151502,62.9
AR,1910,1574449,30.3
AR,1920,1752204,33.7
AR,1930,1854482,35.6
AR,1940,1949387,37.5
AR,1950,1909511,36.7
AR,1960,1786272,34.3
AR,1970,1923295,37.0
AR,1980,2286435,43.9
AR,1990,2350725,45.2
AR,2000,2673400,51.4
AR,2010,2915918,56.0
AR,2020,3011524,57.9
CA,1910,2377549,15.3
CA,1920,3426861,22.0
CA,1930,5677251,36.4
CA,1940,6907387,44.3
CA,1950,10586223,68.0
CA,1960,15717204,100.9
CA,1970,19953134,128.1
CA,1980,23667902,151.9
CA,1990,29760021,191.0
CA,2000,33871648,217.4
CA,2010,37253956,239.1
CA,2020,39538223,253.7
CO,1910,799024,7.7
CO,1920,939629,9.1
CO,1930,1035791,10.0
CO,1940,1123296,10.8
CO,1950,1325089,12.8
CO,1960,1753947,16.9
CO,1970,2207259,21.3
CO,1980,2889964,27.9
CO,1990,3294394,31.8
CO,2000,4301261,41.5
CO,2010,5029196,48.5
CO,2020,5773714,55.7
CT,1910,1114756,230.2
CT,1920,1380631,285.1
CT,1930,1606903,331.8
CT,1940,1709242,353.0
CT,1950,2007280,414.5
CT,1960,2535234,523.6
CT,1970,3031709,626.1
CT,1980,3107576,641.7
CT,1990,3287116,678.8
CT,2000,3405565,703.3
CT,2010,3574097,738.1
CT,2020,3605944,744.7
DE,1910,202322,103.8
DE,1920,223003,114.4
DE,1930,238380,122.3
DE,1940,266505,136.8
DE,1950,318085,163.2
DE,1960,446292,229.0
DE,1970,548104,281.3
DE,1980,594338,305.0
DE,1990,666168,341.9
DE,2000,783600,402.1
DE,2010,897934,460.8
DE,2020,989948,508.0
DC,1910,331069,5423.1
DC,1920,437571,7167.6
DC,1930,486869,7975.1
DC,1940,663091,10861.7
DC,1950,802178,13140.0
DC,1960,763956,12513.9
DC,1970,756510,12392.0
DC,1980,638333,10456.2
DC,1990,606900,9941.3
DC,2000,572059,9370.6
DC,2010,601723,9856.5
DC,2020,689545,11280.0
FL,1910,752619,14.0
FL,1920,968470,18.1
FL,1930,1468211,27.4
FL,1940,1897414,35.4
FL,1950,2771305,51.7
FL,1960,4951560,92.3
FL,1970,6789443,126.6
FL,1980,9746324,181.8
FL,1990,12937926,241.3
FL,2000,15982378,298.0
FL,2010,18801310,350.6
FL,2020,21538187,401.4
GA,1910,2609121,45.4
GA,1920,2895832,50.4
GA,1930,2908506,50.6
