State,Year,Total_Resident_Population,Resident_Population_Density
AK,1910,64356.0,0.1
AK,1911,63424.0,0.1
AK,1912,62492.0,0.10000000000000002
AK,1913,61560.0,0.09999999999999999
AK,1914,60628.0,0.1
AK,1915,59696.0,0.1
AK,1916,58764.0,0.1
AK,1917,57832.0,0.1
AK,1918,56900.0,0.1
AK,1919,55968.0,0.1
AK,1920,55036.0,0.1
AK,1921,55460.0,0.1
AK,1922,55884.0,0.10000000000000002
AK,1923,56309.0,0.09999999999999999
AK,1924,56733.0,0.1
AK,1925,57157.0,0.1
AK,1926,57581.0,0.1
AK,1927,58005.0,0.1
AK,1928,58430.0,0.1
AK,1929,58854.0,0.1
AK,1930,59278.0,0.1
AK,1931,60603.0,0.1
AK,1932,61927.0,0.10000000000000002
AK,1933,63252.0,0.09999999999999999
AK,1934,64576.0,0.1
AK,1935,65901.0,0.1
AK,1936,67226.0,0.1
AK,1937,68550.0,0.1
AK,1938,69875.0,0.1
AK,1939,71199.0,0.1
AK,1940,72524.0,0.1
AK,1941,78136.0,0.11000000000000001
AK,1942,83748.0,0.12000000000000002
AK,1943,89360.0,0.13
AK,1944,94972.0,0.14
AK,1945,100584.0,0.15000000000000002
AK,1946,106195.0,0.16
AK,1947,111807.0,0.16999999999999998
AK,1948,117419.0,0.18000000000000002
AK,1949,123031.0,0.19000000000000003
AK,1950,128643.0,0.2
AK,1951,138395.0,0.22000000000000003
AK,1952,148148.0,0.24000000000000005
AK,1953,157900.0,0.26
AK,1954,167653.0,0.28
AK,1955,177405.0,0.30000000000000004
AK,1956,187157.0,0.32
AK,1957,196910.0,0.33999999999999997
AK,1958,206662.0,0.36000000000000004
AK,1959,216415.0,0.38000000000000006
AK,1960,226167.0,0.4
AK,1961,233589.0,0.41000000000000003
AK,1962,241010.0,0.42000000000000004
AK,1963,248432.0,0.42999999999999994
AK,1964,255853.0,0.44
AK,1965,263274.0,0.45
AK,1966,270696.0,0.46
AK,1967,278118.0,0.47
AK,1968,285539.0,0.48
AK,1969,292960.0,0.49
AK,1970,300382.0,0.5
AK,1971,310529.0,0.52
AK,1972,320676.0,0.54
AK,1973,330823.0,0.5599999999999999
AK,1974,340970.0,0.58
AK,1975,351116.0,0.6
AK,1976,361263.0,0.62
AK,1977,371410.0,0.6399999999999999
AK,1978,381557.0,0.6599999999999999
AK,1979,391704.0,0.6799999999999999
AK,1980,401851.0,0.7
AK,1981,416670.0,0.73
AK,1982,431489.0,0.76
AK,1983,446309.0,0.7899999999999999
AK,1984,461128.0,0.8200000000000001
AK,1985,475947.0,0.85
AK,1986,490766.0,0.8799999999999999
AK,1987,505585.0,0.9099999999999999
AK,1988,520405.0,0.94
AK,1989,535224.0,0.97
AK,1990,550043.0,1.0
AK,1991,557732.0,1.01
AK,1992,565421.0,1.02
AK,1993,573110.0,1.03
AK,1994,580799.0,1.04
AK,1995,588488.0,1.05
AK,1996,596176.0,1.06
AK,1997,603865.0,1.07
AK,1998,611554.0,1.08
AK,1999,619243.0,1.09
AK,2000,626932.0,1.1
AK,2001,635262.0,1.11
AK,2002,643592.0,1.12
AK,2003,651922.0,1.13
AK,2004,660252.0,1.1400000000000001
AK,2005,668582.0,1.15
AK,2006,676911.0,1.1600000000000001
AK,2007,685241.0,1.17
AK,2008,693571.0,1.18
AK,2009,701901.0,1.19
AK,2010,710231.0,1.2
AK,2011,712547.0,1.21
AK,2012,714863.0,1.22
AK,2013,717179.0,1.23
AK,2014,719495.0,1.24
AK,2015,721811.0,1.25
AK,2016,724127.0,1.26
AK,2017,726443.0,1.27
AK,2018,728759.0,1.28
AK,2019,731075.0,1.29
AK,2020,733391.0,1.3
AK,2021,731075.0,1.29
AK,2022,731075.0,1.29
AK,2023,731075.0,1.29
AL,1910,2138093.0,42.2
AL,1911,2159101.0,42.620000000000005
AL,1912,2180109.0,43.040000000000006
AL,1913,2201117.0,43.46
AL,1914,2222125.0,43.879999999999995
AL,1915,2243134.0,44.3
AL,1916,2264142.0,44.72
AL,1917,2285150.0,45.14
AL,1918,2306158.0,45.559999999999995
AL,1919,2327166.0,45.98
AL,1920,2348174.0,46.4
AL,1921,2377981.0,46.989999999999995
AL,1922,2407789.0,47.58
AL,1923,2437596.0,48.169999999999995
AL,1924,2467404.0,48.760000000000005
AL,1925,2497211.0,49.349999999999994
AL,1926,2527018.0,49.94
AL,1927,2556826.0,50.529999999999994
AL,1928,2586633.0,51.120000000000005
AL,1929,2616441.0,51.71
AL,1930,2646248.0,52.3
AL,1931,2664919.0,52.66
AL,1932,2683591.0,53.02
AL,1933,2702262.0,53.379999999999995
AL,1934,2720933.0,53.739999999999995
AL,1935,2739604.0,54.099999999999994
AL,1936,2758276.0,54.46
AL,1937,2776947.0,54.81999999999999
AL,1938,2795618.0,55.17999999999999
AL,1939,2814290.0,55.54
AL,1940,2832961.0,55.9
AL,1941,2855839.0,56.36
AL,1942,2878717.0,56.82
AL,1943,2901596.0,57.279999999999994
AL,1944,2924474.0,57.74
AL,1945,2947352.0,58.2
AL,1946,2970230.0,58.66
AL,1947,2993108.0,59.12
AL,1948,3015987.0,59.580000000000005
AL,1949,3038865.0,60.04
AL,1950,3061743.0,60.5
AL,1951,3082243.0,60.900000000000006
AL,1952,3102742.0,61.300000000000004
AL,1953,3123242.0,61.69999999999999
AL,1954,3143742.0,62.099999999999994
AL,1955,3164242.0,62.5
AL,1956,3184741.0,62.9
AL,1957,3205241.0,63.3
AL,1958,3225741.0,63.7
AL,1959,3246240.0,64.10000000000001
AL,1960,3266740.0,64.5
AL,1961,3284482.0,64.85000000000001
AL,1962,3302225.0,65.2
AL,1963,3319968.0,65.55
AL,1964,3337710.0,65.9
AL,1965,3355452.0,66.25
AL,1966,3373195.0,66.6
AL,1967,3390938.0,66.94999999999999
AL,1968,3408680.0,67.3
AL,1969,3426422.0,67.65
AL,1970,3444165.0,68.0
AL,1971,3489137.0,68.89
AL,1972,3534110.0,69.78
AL,1973,3579082.0,70.66999999999999
AL,1974,3624054.0,71.56
AL,1975,3669026.0,72.45
AL,1976,3713999.0,73.34
AL,1977,3758971.0,74.23
AL,1978,3803943.0,75.12
AL,1979,3848916.0,76.01
AL,1980,3893888.0,76.9
AL,1981,3908558.0,77.19000000000001
AL,1982,3923228.0,77.48000000000002
AL,1983,3937898.0,77.77
AL,1984,3952568.0,78.06
AL,1985,3967238.0,78.35
AL,1986,3981907.0,78.64
AL,1987,3996577.0,78.92999999999999
AL,1988,4011247.0,79.22
AL,1989,4025917.0,79.50999999999999
AL,1990,4040587.0,79.8
AL,1991,4081238.0,80.6
AL,1992,4121890.0,81.4
AL,1993,4162541.0,82.19999999999999
AL,1994,4203192.0,83.0
AL,1995,4243844.0,83.8
AL,1996,4284495.0,84.6
AL,1997,4325146.0,85.39999999999999
AL,1998,4365797.0,86.19999999999999
