State,Start_Year,Stop_Year,Total_Resident_Population,Resident_Population_Density
AK,1910,1910,64356.0,0.1
AK,1910,1920,59696.0,0.1
AK,1910,1930,59557.0,0.10000000000000002
AK,1910,1940,62798.0,0.1
AK,1910,1950,75967.0,0.12000000000000002
AK,1910,1960,101001.0,0.16666666666666666
AK,1910,1970,129484.0,0.21428571428571427
AK,1910,1980,163530.0,0.275
AK,1910,1990,206476.0,0.35555555555555557
AK,1910,2000,248521.0,0.43000000000000005
AK,1910,2010,290495.0,0.5000000000000001
AK,1910,2020,327403.0,0.5666666666666668
AK,1920,1920,55036.0,0.1
AK,1920,1930,57157.0,0.1
AK,1920,1940,62279.0,0.10000000000000002
AK,1920,1950,78870.0,0.125
AK,1920,1960,108330.0,0.18
AK,1920,1970,140338.0,0.2333333333333333
AK,1920,1980,177697.0,0.29999999999999993
AK,1920,1990,224240.0,0.38749999999999996
AK,1920,2000,268984.0,0.46666666666666656
AK,1920,2010,313109.0,0.5399999999999999
AK,1920,2020,351316.0,0.609090909090909
AK,1930,1930,59278.0,0.1
AK,1930,1940,65901.0,0.1
AK,1930,1950,86815.0,0.13333333333333333
AK,1930,1960,121653.0,0.2
AK,1930,1970,157399.0,0.26
AK,1930,1980,198141.0,0.3333333333333333
AK,1930,1990,248413.0,0.42857142857142855
AK,1930,2000,295728.0,0.5125
AK,1930,2010,341783.0,0.5888888888888889
AK,1930,2020,380944.0,0.6599999999999999
AK,1940,1940,72524.0,0.1
AK,1940,1950,100584.0,0.15000000000000002
AK,1940,1960,142445.0,0.23333333333333336
AK,1940,1970,181929.0,0.30000000000000004
AK,1940,1980,225913.0,0.38
AK,1940,1990,279935.0,0.4833333333333334
AK,1940,2000,329506.0,0.5714285714285714
AK,1940,2010,377097.0,0.65
AK,1940,2020,416685.0,0.7222222222222222
AK,1950,1950,128643.0,0.2
AK,1950,1960,177405.0,0.30000000000000004
AK,1950,1970,218397.0,0.3666666666666667
AK,1950,1980,264261.0,0.45
AK,1950,1990,321417.0,0.5599999999999999
AK,1950,2000,372336.0,0.65
AK,1950,2010,420607.0,0.7285714285714285
AK,1950,2020,459705.0,0.7999999999999999
AK,1960,1960,226167.0,0.4
AK,1960,1970,263274.0,0.45
AK,1960,1980,309467.0,0.5333333333333333
AK,1960,1990,369611.0,0.65
AK,1960,2000,421075.0,0.74
AK,1960,2010,469268.0,0.8166666666666668
AK,1960,2020,507000.0,0.8857142857142858
AK,1970,1970,300382.0,0.5
AK,1970,1980,351116.0,0.6
AK,1970,1990,417425.0,0.7333333333333334
AK,1970,2000,469802.0,0.8250000000000001
AK,1970,2010,517888.0,0.9
AK,1970,2020,553805.0,0.9666666666666667
AK,1980,1980,401851.0,0.7
AK,1980,1990,475947.0,0.85
AK,1980,2000,526275.0,0.9333333333333332
AK,1980,2010,572264.0,1.0
AK,1980,2020,604490.0,1.06
AK,1990,1990,550043.0,1.0
AK,1990,2000,588488.0,1.05
AK,1990,2010,629069.0,1.0999999999999999
AK,1990,2020,655149.0,1.15
AK,2000,2000,626932.0,1.1
AK,2000,2010,668582.0,1.15
AK,2000,2020,690185.0,1.2
AK,2010,2010,710231.0,1.2
AK,2010,2020,721811.0,1.25
AK,2020,2020,733391.0,1.3
AL,1910,1910,2138093.0,42.2
AL,1910,1920,2243134.0,44.3
AL,1910,1930,2377505.0,46.96666666666666
AL,1910,1940,2491369.0,49.199999999999996
AL,1910,1950,2605444.0,51.459999999999994
AL,1910,1960,2715660.0,53.633333333333326
AL,1910,1970,2819732.0,55.685714285714276
AL,1910,1980,2954002.0,58.33749999999999
AL,1910,1990,3074733.0,60.72222222222221
AL,1910,2000,3211970.0,63.429999999999986
AL,1910,2010,3354494.0,66.24545454545454
AL,1910,2020,3493643.0,68.99166666666666
AL,1920,1920,2348174.0,46.4
AL,1920,1930,2497211.0,49.349999999999994
AL,1920,1940,2609128.0,51.53333333333333
AL,1920,1950,2722282.0,53.775
AL,1920,1960,2831173.0,55.92
AL,1920,1970,2933338.0,57.93333333333334
AL,1920,1980,3070560.0,60.642857142857146
AL,1920,1990,3191813.0,63.0375
AL,1920,2000,3331290.0,65.78888888888889
AL,1920,2010,3476134.0,68.65
AL,1920,2020,3616875.0,71.42727272727274
AL,1930,1930,2646248.0,52.3
AL,1930,1940,2739604.0,54.099999999999994
AL,1930,1950,2846984.0,56.23333333333333
AL,1930,1960,2951923.0,58.3
AL,1930,1970,3050371.0,60.239999999999995
AL,1930,1980,3190958.0,63.01666666666667
AL,1930,1990,3312333.0,65.41428571428573
AL,1930,2000,3454179.0,68.2125
AL,1930,2010,3601463.0,71.12222222222222
AL,1930,2020,3743745.0,73.93
AL,1940,1940,2832961.0,55.9
AL,1940,1950,2947352.0,58.2
AL,1940,1960,3053815.0,60.300000000000004
AL,1940,1970,3151402.0,62.225
AL,1940,1980,3299899.0,65.16
AL,1940,1990,3423347.0,67.60000000000001
AL,1940,2000,3569598.0,70.4857142857143
AL,1940,2010,3720865.0,73.47500000000001
AL,1940,2020,3865689.0,76.33333333333334
AL,1950,1950,3061743.0,60.5
AL,1950,1960,3164242.0,62.5
AL,1950,1970,3257549.0,64.33333333333333
AL,1950,1980,3416634.0,67.475
AL,1950,1990,3541425.0,69.94
AL,1950,2000,3692370.0,72.91666666666667
AL,1950,2010,3847708.0,75.98571428571428
AL,1950,2020,3994780.0,78.8875
AL,1960,1960,3266740.0,64.5
AL,1960,1970,3355452.0,66.25
AL,1960,1980,3534931.0,69.8
AL,1960,1990,3661345.0,72.3
AL,1960,2000,3818496.0,75.4
AL,1960,2010,3978703.0,78.56666666666666
AL,1960,2020,4128071.0,81.51428571428572
AL,1970,1970,3444165.0,68.0
AL,1970,1980,3669026.0,72.45
AL,1970,1990,3792880.0,74.89999999999999
AL,1970,2000,3956435.0,78.125
AL,1970,2010,4121095.0,81.38
AL,1970,2020,4271626.0,84.35
AL,1980,1980,3893888.0,76.9
AL,1980,1990,3967238.0,78.35
AL,1980,2000,4127192.0,81.5
AL,1980,2010,4290328.0,84.725
AL,1980,2020,4437118.0,87.61999999999999
AL,1990,1990,4040587.0,79.8
AL,1990,2000,4243844.0,83.8
AL,1990,2010,4422474.0,87.33333333333333
AL,1990,2020,4572926.0,90.3
AL,2000,2000,4447100.0,87.8
AL,2000,2010,4613418.0,91.1
AL,2000,2020,4750372.0,93.8
AL,2010,2010,4779736.0,94.4
AL,2010,2020,4902008.0,96.80000000000001
AL,2020,2020,5024279.0,99.2
AR,1910,1910,1574449.0,30.3
AR,1910,1920,1663326.0,32.0
AR,1910,1930,1727045.0,33.199999999999996
AR,1910,1940,1782630.0,34.275
AR,1910,1950,1808007.0,34.760000000000005
AR,1910,1960,1804384.0,34.68333333333334
AR,1910,1970,1821371.0,35.01428571428572
AR,1910,1980,1879504.0,36.125
AR,1910,1990,1931862.0,37.13333333333333
AR,1910,2000,2006016.0,38.559999999999995
AR,1910,2010,2088734.0,40.14545454545454
AR,1910,2020,2165634.0,41.62499999999999
AR,1920,1920,1752204.0,33.7
AR,1920,1930,1803343.0,34.650000000000006
AR,1920,1940,1852024.0,35.6
AR,1920,1950,1866396.0,35.875
AR,1920,1960,1850371.0,35.56
AR,1920,1970,1862525.0,35.800000000000004
AR,1920,1980,1923084.0,36.957142857142856
AR,1920,1990,1976539.0,37.9875
AR,1920,2000,2053968.0,39.477777777777774
AR,1920,2010,2140163.0,41.129999999999995
AR,1920,2020,2219378.0,42.65454545454545
AR,1930,1930,1854482.0,35.6
AR,1930,1940,1901934.0,36.55
AR,1930,1950,1904460.0,36.6
AR,1930,1960,1874913.0,36.025
AR,1930,1970,1884589.0,36.22
AR,1930,1980,1951564.0,37.5
AR,1930,1990,2008587.0,38.6
AR,1930,2000,2091688.0,40.199999999999996
AR,1930,2010,2183269.0,41.95555555555555
AR,1930,2020,2266095.0,43.55
AR,1940,1940,1949387.0,37.5
AR,1940,1950,1929449.0,37.1
AR,1940,1960,1881723.0,36.166666666666664
AR,1940,1970,1892116.0,36.375
AR,1940,1980,1970980.0,37.88
AR,1940,1990,2034271.0,39.1
AR,1940,2000,2125575.0,40.857142857142854
AR,1940,2010,2224368.0,42.75
AR,1940,2020,2311830.0,44.43333333333333
AR,1950,1950,1909511.0,36.7
AR,1950,1960,1847892.0,35.5
AR,1950,1970,1873026.0,36.0
AR,1950,1980,1976378.0,37.975
AR,1950,1990,2051248.0,39.42
AR,1950,2000,2154940.0,41.41666666666667
