name,type,latitude_deg,longitude_deg,state
Kure Airport,closed,28.38920021,-178.2969971,HI
Adak Airport,medium_airport,51.87799835,-176.6459961,AK
Atka Airport,small_airport,52.22029877,-174.2059937,AK
Gambell Airport,medium_airport,63.76679993,-171.7330017,AK
Savoonga Airport,medium_airport,63.68640137,-170.4929962,AK
St Paul Island Airport,medium_airport,57.16730118,-170.2200012,AK
St George Airport,medium_airport,56.57830048,-169.6620026,AK
Diomede Heliport,heliport,65.75859833,-168.9530029,AK
Nikolski Air Station,small_airport,52.9416008,-168.848999,AK
Wales Airport,small_airport,65.622593,-168.095,AK
Tin City Long Range Radar Station Airport,small_airport,65.56310272,-167.9219971,AK
North Shore AAF,closed,53.5126,-167.9218,AK
Cape Field at Fort Glenn,small_airport,53.38,-167.8813,AK
Chernofski Harbor Seaplane Base,seaplane_base,53.40289934,-167.5202715,AK
Buck Creek Airport,small_airport,65.63870239,-167.4859924,AK
Lost River 2 Airport,small_airport,65.45619965,-167.1750031,AK
Lost River 1 Airport,small_airport,65.39620209,-167.1629944,AK
Port Clarence Coast Guard Station,medium_airport,65.25370026,-166.8589935,AK
Driftwood Bay Air Force Station Airport,small_airport,53.97294998,-166.8584595,AK
Point Hope Airport,small_airport,68.34880066,-166.798996,AK
Unalaska Airport,medium_airport,53.90010071,-166.5440063,AK
Brevig Mission Airport,small_airport,65.33129883,-166.4660034,AK
Teller Airport,small_airport,65.24040222,-166.3390045,AK
French Frigate Shoals Airport,small_airport,23.86940002,-166.2850037,HI
Mekoryuk Airport,medium_airport,60.37139893,-166.2709961,AK
Hooper Bay Airport,medium_airport,61.52389908,-166.1470032,AK
Feather River Airport,small_airport,64.83170319,-166.1320038,AK
Cape Lisburne LRRS Airport,medium_airport,68.87509918,-166.1100006,AK
Shishmaref Airport,medium_airport,66.249604,-166.089112,AK
Cape Romanzof LRRS Airport,medium_airport,61.78030014,-166.0390015,AK
Akutan Seaplane Base,seaplane_base,54.13377044,-165.7788956,AK
Akun Airport,small_airport,54.14499252,-165.6075668,AK
Chevak Airport,small_airport,61.5409,-165.6005,AK
Scammon Bay Airport,medium_airport,61.84529877,-165.5709991,AK
Nome Airport,medium_airport,64.5121994,-165.4450073,AK
Nome City Field,small_airport,64.51309967,-165.3959961,AK
Basin Creek Airport,small_airport,64.67980194,-165.3000031,AK
Tununak Airport,small_airport,60.57550049,-165.2720032,AK
Toksook Bay Airport,small_airport,60.54140091,-165.0870056,AK
Salmon Lake Airport,small_airport,64.90920258,-165.0130005,AK
Cape Sarichef Airport,small_airport,54.58240128,-164.9140015,AK
Sheldon Point Airport,small_airport,62.52059937,-164.8480072,AK
Taylor Airport,small_airport,65.6792984,-164.798996,AK
Nightmute Airport,small_airport,60.47100067,-164.701004,AK
Alakanuk Airport,small_airport,62.68004227,-164.6599274,AK
Quartz Creek /Kougarok/ Airport,small_airport,65.40589905,-164.6560059,AK
Newtok Airport,small_airport,60.93909836,-164.6410065,AK
Newtok Seaplane Base,seaplane_base,60.935,-164.6267,AK
Kivalina Airport,medium_airport,67.73619843,-164.5630035,AK
Emmonak Airport,medium_airport,62.78609848,-164.4909973,AK
Solomon State Field,small_airport,64.5605,-164.4457,AK
Chefornak Airport,small_airport,60.14920044,-164.2859955,AK
